Forecaster, Cumulative Accuracy, Average Score, 101: US April, , ,104: China April, , ,201: France April, , ,204: Italy April
 , , ,SWRPS, Accuracy Score, Participation Rate,SWRPS, Accuracy Score, Participation Rate,SWRPS, Accuracy Score, Participation Rate,SWRPS, Accuracy Score, Participation Rate
Forecaster #2114,-0.040, 0.479,0.285,0.035,96%,0.766,-0.122,93%,0.636,0.102,98%,0.23,-0.055,98%
Forecaster #1983,-0.037, 0.136,0.136,-0.037,33%,no forecast,no forecast,0%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2047,-0.035, 0.486,0.316,0.064,95%,0.689,-0.197,95%,0.485,-0.046,98%,0.454,0.144,86%
Forecaster #2177,-0.032, 0.473,0.293,0.042,95%,1.049,0.144,95%,0.434,-0.081,82%,0.117,-0.137,81%
Forecaster #2388,-0.018, 0.000,0,-0.018,7%,no forecast,no forecast,0%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2049,-0.017, 0.481,0.278,0.028,93%,1.064,0.153,91%,0.409,-0.106,86%,0.173,-0.092,81%
Forecaster #2181,-0.016, 0.564,0.782,0.507,95%,0.346,-0.523,95%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2131,-0.007, 0.000,0,-0.007,3%,no forecast,no forecast,0%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2213,0.015, 0.359,0.6,0.334,95%,0.764,-0.123,93%,0.073,-0.121,26%,0,-0.075,26%
Forecaster #2149,0.021, 0.583,0.834,0.578,99%,0.332,-0.557,99%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2266,0.023, 0.497,0.328,0.076,96%,1.029,0.127,96%,0.4,-0.128,96%,0.231,-0.052,96%
Forecaster #2175,0.024, 0.584,0.402,0.146,95%,0.765,-0.122,93%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2394,0.029, 0.499,0.243,-0.005,94%,0.887,-0.009,93%,0.652,0.109,92%,0.213,-0.066,91%
Forecaster #2308,0.031, 0.497,0.396,0.137,93%,0.885,-0.01,93%,0.437,-0.082,85%,0.269,-0.014,85%
Forecaster #2050,0.048, 0.503,0.313,0.061,93%,0.958,0.058,93%,0.446,-0.081,94%,0.296,0.01,94%
Forecaster #2066,0.050, 0.443,no forecast,no forecast,0%,no forecast,no forecast,0%,0.595,0.047,75%,0.29,0.003,75%
Forecaster #2338,0.053, 0.504,0.524,0.249,91%,0.556,-0.308,91%,0.525,-0.008,96%,0.412,0.12,95%
Forecaster #2271,0.063, 0.511,0.241,-0.006,84%,0.941,0.036,81%,0.683,0.111,74%,0.18,-0.078,73%
Forecaster #2367,0.064, 0.508,0.13,-0.114,97%,0.892,-0.004,95%,0.518,-0.013,91%,0.491,0.195,95%
Forecaster #2568,0.078, 0.538,0.206,-0.011,26%,1.31,0.107,26%,0.595,0.006,10%,0.04,-0.024,10%
Forecaster #2073,0.079, 0.697,0.238,-0.002,23%,0.231,-0.042,6%,1.252,0.059,8%,1.068,0.064,8%
Forecaster #2103,0.083, 0.519,0.371,0.12,98%,0.649,-0.222,90%,0.55,0.016,95%,0.505,0.169,77%
Forecaster #2272,0.084, 0.616,0.234,-0.013,93%,0.998,0.097,96%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2122,0.089, 0.522,0.528,0.27,97%,0.275,-0.601,97%,0.802,0.242,90%,0.484,0.178,90%
Forecaster #2200,0.094, 0.594,0.32,0.072,99%,0.786,-0.11,99%,0.675,0.132,93%,no forecast,no forecast,0%
Forecaster #2323,0.097, 0.518,0.358,0.087,79%,0.82,-0.06,79%,0.347,-0.174,94%,0.547,0.244,93%
Forecaster #2311,0.101, 0.518,0.308,0.041,70%,0.827,-0.048,70%,0.307,-0.205,91%,0.63,0.313,91%
Blake Shurtz,0.102, 0.516,0.254,0.006,93%,0.796,-0.093,93%,0.656,0.12,97%,0.357,0.069,97%
Forecaster #2378,0.108, 0.519,0.243,-0.005,97%,0.991,0.091,97%,0.601,0.067,99%,0.24,-0.045,99%
Forecaster #2099,0.123, 0.521,0.033,-0.172,80%,1.109,0.177,83%,0.44,-0.087,94%,0.503,0.205,94%
Forecaster #2024,0.125, 0.528,0.289,0.039,95%,1.111,0.168,79%,0.43,-0.079,77%,0.282,-0.003,77%
Forecaster #2385,0.129, 0.524,0.146,-0.082,79%,0.964,0.043,64%,0.382,-0.149,99%,0.606,0.317,99%
Forecaster #2331,0.151, 0.653,0.245,-0.003,94%,1.061,0.154,94%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2307,0.154, 0.531,0.106,-0.133,94%,1.086,0.177,94%,0.785,0.241,96%,0.148,-0.131,95%
Forecaster #2299,0.168, 0.534,0.466,0.209,96%,0.847,-0.046,93%,0.495,-0.028,74%,0.33,0.033,74%
Forecaster #2377,0.173, 0.543,0.595,0.34,98%,0.403,-0.484,98%,0.912,0.338,89%,0.263,-0.021,89%
Forecaster #1984,0.175, 0.445,0.445,0.175,89%,no forecast,no forecast,0%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2201,0.179, 0.457,0.457,0.179,86%,no forecast,no forecast,0%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2172,0.181, 0.667,0.263,0.014,96%,1.071,0.167,96%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #1981,0.182, 0.518,0.268,0.019,96%,0.493,-0.3,75%,0.782,0.241,97%,0.527,0.222,92%
Forecaster #2351,0.191, 0.591,0.597,0.165,47%,0.952,0.026,48%,0.283,-0.153,61%,0.534,0.153,62%
Forecaster #1971,0.192, 0.539,0.568,0.315,99%,0.317,-0.571,99%,0.942,0.403,99%,0.331,0.045,99%
Forecaster #2529,0.201, 0.543,0.587,0.324,96%,0.928,0.03,96%,0.281,-0.239,95%,0.376,0.086,95%
Forecaster #2210,0.203, 0.675,no forecast,no forecast,0%,no forecast,no forecast,0%,0.795,0.1,38%,0.556,0.103,38%
Forecaster #2012,0.203, 0.546,0.324,0.075,99%,0.819,-0.077,99%,0.626,0.085,91%,0.417,0.12,91%
Forecaster #2303,0.209, 0.553,0.375,0.118,93%,1.083,0.154,82%,0.343,-0.179,95%,0.412,0.116,92%
Forecaster #2333,0.219, 0.384,0.524,0.237,86%,0.04,-0.149,17%,0.766,0.199,85%,0.206,-0.068,85%
Forecaster #2569,0.233, 0.550,0.315,0.066,99%,0.767,-0.128,99%,0.714,0.179,99%,0.404,0.116,98%
Forecaster #2055,0.236, 0.558,0.177,-0.06,84%,0.776,-0.101,84%,0.715,0.169,93%,0.563,0.228,82%
Forecaster #2005,0.244, 0.561,0.365,0.112,96%,0.993,0.071,73%,0.578,0.043,96%,0.308,0.018,78%
Forecaster #2072,0.259, 0.570,0.426,0.148,83%,0.968,0.06,83%,0.611,0.06,77%,0.275,-0.009,77%
Forecaster #2216,0.265, 1.167,no forecast,no forecast,0%,1.167,0.265,98%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2008,0.267, 0.559,0.048,-0.192,96%,1.056,0.152,95%,0.653,0.117,98%,0.48,0.19,98%
Forecaster #2078,0.273, 0.563,0.231,-0.017,96%,1.191,0.281,96%,0.483,-0.04,81%,0.346,0.049,81%
Forecaster #2295,0.274, 0.358,0.529,0.27,96%,0.903,0.007,96%,0,-0.002,0%,0,-0.001,0%
Forecaster #2523,0.287, 0.600,0.397,0.113,76%,1.176,0.166,59%,0.412,-0.088,73%,0.417,0.096,73%
Forecaster #1988,0.289, 0.561,0.533,0.281,99%,1.06,0.162,99%,0.311,-0.202,91%,0.339,0.048,91%
Forecaster #2525,0.291, 0.616,0.254,0.006,94%,0.894,-0.002,86%,0.714,0.047,26%,0.602,0.24,76%
Forecaster #2173,0.300, 0.741,0.794,0.486,89%,0.687,-0.186,89%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #1977,0.303, 0.727,0.671,0.416,99%,0.782,-0.113,99%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2043,0.309, 0.570,0.248,-0.001,95%,0.923,0.026,95%,0.454,-0.077,98%,0.655,0.361,98%
Forecaster #2037,0.317, 0.565,0.653,0.297,73%,0.337,-0.411,73%,0.842,0.295,95%,0.429,0.136,95%
Forecaster #2007,0.329, 0.587,0.306,0.055,96%,0.877,-0.018,93%,0.746,0.164,77%,0.42,0.128,96%
Forecaster #2163,0.336, 0.750,0.64,0.371,95%,0.859,-0.035,95%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2383,0.343, 0.584,0.501,0.236,94%,0.57,-0.306,94%,0.643,0.104,94%,0.621,0.309,92%
Forecaster #2259,0.377, 0.707,0.707,0.377,82%,no forecast,no forecast,0%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2059,0.391, 0.605,0.616,0.316,86%,0.96,0.055,86%,0.407,-0.1,80%,0.438,0.12,79%
Forecaster #2363,0.397, 0.601,0.357,0.097,89%,1.224,0.293,89%,0.594,0.057,92%,0.231,-0.05,92%
Forecaster #2040,0.440, 0.822,0.544,0.261,89%,1.099,0.179,88%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2209,0.444, 0.698,0.754,0.271,54%,1.219,0.173,54%,0.655,0.085,70%,0.164,-0.085,70%
Forecaster #2019,0.445, 0.612,0.239,-0.009,96%,1.013,0.111,96%,0.722,0.171,90%,0.476,0.172,90%
Forecaster #2260,0.448, 0.633,0.548,0.235,78%,1.146,0.195,78%,0.307,-0.192,85%,0.532,0.21,85%
Forecaster #2532,0.455, 0.650,0.262,0.008,55%,0.892,-0.003,55%,0.802,0.193,72%,0.645,0.257,72%
Forecaster #2324,0.458, 0.618,0.595,0.343,99%,0.834,-0.062,99%,0.572,0.031,79%,0.47,0.146,79%
Forecaster #2289,0.459, 0.794,0.794,0.459,84%,no forecast,no forecast,0%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2031,0.470, 0.794,0.794,0.47,86%,no forecast,no forecast,0%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #1996,0.490, 0.620,0.285,0.036,96%,0.995,0.092,93%,0.651,0.113,95%,0.547,0.249,95%
Forecaster #2530,0.505, 0.663,0.73,0.449,93%,no forecast,no forecast,0%,0.596,0.056,89%,no forecast,no forecast,0%
Forecaster #2150,0.509, 0.809,0.809,0.509,91%,no forecast,no forecast,0%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #1991,0.513, 0.984,0.984,0.513,70%,no forecast,no forecast,0%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2254,0.517, 0.623,0.234,-0.013,89%,0.968,0.064,88%,0.565,0.032,99%,0.725,0.434,99%
Forecaster #2222,0.522, 0.626,0.496,0.234,94%,0.547,-0.33,94%,1.066,0.513,96%,0.395,0.105,96%
Forecaster #2013,0.533, 0.665,0.521,0.26,95%,0.619,-0.264,95%,0.552,0.015,76%,0.97,0.522,76%
Forecaster #2282,0.537, 0.625,0.361,0.064,57%,0.546,-0.199,57%,0.952,0.363,87%,0.643,0.309,87%
Forecaster #2273,0.549, 0.640,0.278,0.028,94%,0.902,0.006,94%,0.937,0.372,92%,0.442,0.143,91%
Forecaster #1978,0.562, 0.635,0.18,-0.066,96%,1.03,0.127,95%,0.8,0.262,98%,0.53,0.239,98%
Forecaster #2077,0.568, 0.645,0.296,0.044,92%,1.11,0.203,95%,0.822,0.26,90%,0.35,0.061,94%
Forecaster #2147,0.571, 0.861,0.768,0.514,99%,0.954,0.057,99%,no forecast,no forecast,0%,no forecast,no forecast,0%
Forecaster #2329,0.598, 0.647,0.203,-0.036,79%,0.861,-0.028,79%,0.605,0.068,94%,0.919,0.594,94%
Forecaster #1969,0.600, 0.649,0.719,0.456,97%,1.002,0.102,97%,0.68,0.111,75%,0.195,-0.069,75%
Forecaster #2001,0.610, 0.655,0.23,-0.017,90%,1.222,0.292,90%,0.617,0.082,96%,0.553,0.253,95%
Forecaster #2054,0.611, 0.669,0.489,0.193,80%,1.122,0.181,80%,0.779,0.237,96%,0.286,0,96%
Forecaster #2302,0.620, 0.671,0.794,0.509,93%,0.397,-0.465,93%,1.016,0.413,86%,0.476,0.163,86%
Forecaster #2313,0.643, 0.704,0.436,0.179,96%,0.772,-0.119,96%,0.786,0.187,74%,0.823,0.396,74%
Forecaster #1989,0.662, 0.768,0.389,0.131,93%,1.179,0.263,93%,0.796,0.103,39%,0.708,0.165,39%
Forecaster #2143,0.719, 0.733,0.176,-0.043,60%,1.127,0.137,60%,0.921,0.3,77%,0.707,0.325,77%
Forecaster #2196,0.723, 0.702,0.214,-0.032,92%,1.204,0.277,90%,0.806,0.229,84%,0.583,0.249,84%
